ID,Category,IAB Category,
60558,/All Apps/iTunes App Store/Magazines & Newspapers/History,IAB5-3,
60559,/All Apps/iTunes App Store/Magazines & Newspapers/Literary Magazines & Journals,IAB1-1,
60560,/All Apps/iTunes App Store/Magazines & Newspapers/Men's Interest,IAB9,
60561,/All Apps/iTunes App Store/Magazines & Newspapers/Movies & Music,IAB1-6,
60562,/All Apps/iTunes App Store/Magazines & Newspapers/Parenting & Family,IAB6,
60563,/All Apps/iTunes App Store/Magazines & Newspapers/Pets,IAB16,
60564,/All Apps/iTunes App Store/Magazines & Newspapers/Professional & Trade,IAB3,
60565,/All Apps/iTunes App Store/Magazines & Newspapers/Regional News,IAB19,
60566,/All Apps/iTunes App Store/Magazines & Newspapers/Science,IAB15,
60567,/All Apps/iTunes App Store/Magazines & Newspapers/Teens,IAB14-6,
60568,/All Apps/iTunes App Store/Magazines & Newspapers/Travel & Regional,IAB20,
60569,/All Apps/iTunes App Store/Magazines & Newspapers/Women's Interest,IAB9,
60570,/All Apps/Apple App Store/Food & Drink,IAB8,
60571,/All Apps/Apple App Store/Shopping,IAB22,
60572,/All Apps/Apple App Store/Stickers,,
60573,/All Apps/Apple App Store/Stickers/Emoji & Expressions,,
60574,/All Apps/Apple App Store/Stickers/Animals & Nature,IAB16,
60575,/All Apps/Apple App Store/Stickers/Art,IAB18,
60576,/All Apps/Apple App Store/Stickers/Celebrations,,
60577,/All Apps/Apple App Store/Stickers/Celebrities,,
60578,/All Apps/Apple App Store/Stickers/Comics & Cartoons,,
60579,/All Apps/Apple App Store/Stickers/Eating & Drinking,IAB8,
60580,/All Apps/Apple App Store/Stickers/Gaming,IAB9,
60581,/All Apps/Apple App Store/Stickers/Movies & TV,IAB1-5,
60582,/All Apps/Apple App Store/Stickers/Music,IAB1-6,
60583,/All Apps/Apple App Store/Stickers/People,,
60584,/All Apps/Apple App Store/Stickers/Places & Objects,,
60585,/All Apps/Apple App Store/Stickers/Sports & Activities,IAB17,
60586,/All Apps/Apple App Store/Stickers/Kids & Family,IAB6,
60587,/All Apps/Apple App Store/Stickers/Fashion,IAB18,
61001,/All Apps/Windows Phone Apps,,
