355,GalaxyMini
356,J100
357,J101
358,J102
359,J206
360,J501
361,M303
362,M530W
363,ME171
364,O2 Xda Zest
365,P320
366,P505
367,P527
368,P550
369,P565
370,P735
371,P750
372,Padfone
373,Peg
374,TF101
375,TF201
376,TF300T
377,V66
378,V75
379,V80
380,Vodafone 1520
381,Z801
382,CDM 8150
383,CDM 8610VM
384,CDM-120
385,CDM-180 (Verizon Wireless)
386,CDM-8200
387,CDM-8300
388,CDM-8400
389,CDM-8450
390,CDM-8500
391,CDM-8900 (Telus Mobility)
392,CDM-8900 (Verizon Wireless)
393,CDM-8910 (Verizon Wireless)
394,CDM-8915/Snapper (Verizon Wireless)
395,CDM-8940 (Verizon Wireless)
396,CDM-9155-GPX
397,CDM-9500
398,CDM-9900 (Verizon Wireless)
399,CDM180
400,CDM8450SP
401,CDM8460T
402,CDM8600
403,CDM8615
404,CDM8900
405,CDM8910
406,CDM8912SP
407,CDM8915
408,CDM8920
409,CDM8930
410,CDM8940
411,CDM8945
412,CDM9100SP
413,CDM9155SP
414,CDM9900
415,PM-8912
416,PM-8920
417,SMT5600
418,VI600
419,V930
420,Picopad QGN
421,Vigo 350
422,EVE
423,Q7
424,BNTV250
425,BNTV600
426,Nook
427,Nook Color
428,DCW2111H
429,Dcw2112h
430,BC831
431,NEO100
432,NEO200
433,Q
434,3200
435,A500
436,A5001
437,Athena S830C
438,E72
439,E81
440,M220
441,M300
442,M305
443,M315
444,M350
445,M580
446,Maui E800
447,MD 300H (Momo Design)
448,Morpheus
449,NIKE1
450,P30
451,P50
452,R71
453,S500
454,S660C
455,S668C
456,S670C/X2
457,S680C
458,S700/X3
459,S7001
460,S80/X4
461,S82
462,Siemens AP75
463,Siemens AP75a
464,SJT E861A
465,T51HK
466,Vulcan
467,Z2
468,C31
469,C81
470,CF61
471,CL71
472,E52
473,E61
474,E71
475,EF51
476,EF61
477,EF71
478,EF81
479,EF91
480,EL71
481,M81
482,P51
483,S68
484,S81
485,S88
486,SF71
487,SFG75
488,SL80
489,SL91
490,B7
491,BB EH7
492,A120
493,A150
494,D610
495,D611
496,D615
497,D660
498,D700
499,D718
500,D720
501,D730
502,D736
503,DoEasy X8
504,E818
505,F501
506,F518
507,G118
508,K298
509,k505
510,M19
511,S230
512,S305
513,S570
514,S580
515,S689
516,S701
517,S710
518,S710a
519,S789+
520,S889/ S889
521,S918
522,SC14
523,SC17c
524,SC24
525,SM10
526,V007
527,V59
528,V750
529,V780
530,V788
531,V89
532,V99
533,W188
534,355X
535,458x
536,471x
537,555X
538,651Z
539,A70
540,Dash
541,Studio 5.3
542,TouchBook 7.0
543,V99
544,Darwin
545,Edison
546,Verne Plus
547,N701
548,FM600
549,C8188
550,F600
551,CT1002
552,CT704
553,CT705
554,A3012CA
555,A5302CA
556,A5401CA
557,A5403CA
558,A5512CA
559,C303CA
560,C311CA
561,C409CA
562,C771
563,C781
564,CA-01C
565,CA007
566,Nova
567,8935
568,A1000
569,MID TR718D
570,U600
571,A88
572,A95
573,A97
574,CBM
575,V7
576,W22
577,W3
578,Z-me
579,Z1
580,A70
581,Superion
582,S800
583,8000
584,V17
585,V9
586,Blaze
587,Cius
588,K1000 (Dual sim card)
589,MID1024
590,MID1042
591,MID1125
592,MID1126
593,MID7005
594,MID7010
595,MID7012
596,MID7014
597,MID7015/Kyros
598,MID7016
599,MID7022
600,MID7024
601,MID7033
602,MID7035
603,MID7042
604,MID7125
605,MID8020
606,MID8024/Kyros
607,MID8042
608,MID8120
609,MID8125
610,MID8127
611,MID8128
612,MID9742
613,Z71
614,A618
615,C8600
616,Chase 898
617,D77
618,HZ8
619,S7100
620,S7110
621,TG762
622,TG762D
623,U80
624,U8600
625,U8800
626,V800C
627,XG2
628,XG3
629,XG3C
630,XG5
631,XG655
632,XG799
633,288
634,5832
635,5860
636,5860A
637,5860E
638,7019
639,7260
640,8810
641,D530
642,D539
643,E239
644,N930
645,S100
646,W706
647,W711
648,W713
649,CMP738A
650,CMP738B
651,CMP741d
652,CMP743
653,Zen Touch 2
654,ZiiO 7 Inch
655,CTP810
656,CTP888
657,A100
658,A210/CAPTR II
659,A310/MSGM8 II
660,A410
661,CAPTR A200
662,A1
663,Mi300 Spice
664,MI410 Spice
665,Mi700 Spice
666,TE800
667,K8GT/K8GTW
668,U30GT
669,U8
670,U9GT2
671,Identity GA-400B
672,M7
673,Atom Pad
674,K3409
675,K3410
676,P10T
677,DFP7005
678,G83
679,DP900
680,Hiptop
681,Sidekick 4/Sidekick
682,SidekickIII
683,A7
684,D758
685,2039
686,6228
687,6568
688,6588C
689,6668
690,6669
691,8036 (Dual sim card)
692,8038
693,D5
694,J6
695,Aero
696,GS01
697,Mini 3iX
698,Mini 5
699,Streak
700,Streak 10 Pro
701,Streak 7
702,Venue
703,venue pro
704,XCD 28
705,XCD35
706,C202DE
707,C402DE
708,J-DN02
709,J-DN03
710,Sprint Touchpoint
711,E139
712,T905
713,DIT8010
714,iDx10
715,iDx7
716,DM009SH
717,DM010SH
718,DM011SH
719,DM012SH
720,Touchtab2
721,ATM3470
722,M900
723,504iS
724,D253i
725,D253iWM
726,D506i
727,D701i
728,D701iWM
729,D704i
730,D705i
731,D900i
732,D901i
733,D901iS
734,D905i
735,F-01A
736,F-01B
737,F-01C
738,F-01D
739,F-02A
740,F-02B
741,F-02C
742,F-02D
743,F-03A
744,F-03B
745,F-03C
746,F-03D
747,F-04A
748,F-04B
749,F-04C
750,F-04D
751,F-05A
752,F-05C
753,F-05D
754,F-06A
755,F-06B
756,F-06D
757,F-07A
758,F-07B
759,F-07D
760,F-08A
761,F-08B
762,F-08C
763,F-08D
764,F-09A
765,F-09B
766,F-09C
767,F-09D
768,F-10A
769,F-10B
770,F2051
771,F506i
772,F672i
773,F700i
774,F700iS
775,F704i
776,F705i
777,F706i
778,F801i
779,F880iES
780,F881iES
781,F882iES
782,F883iES
783,F883iESS
784,F883iS
785,F884i
786,F884iES
787,F901iC
788,F901iS
789,F905i
790,F905iBiz
791,F906i
792,L-01A
793,L-01B
794,L-01C
795,L-02B
796,L-03A
797,L-03B
798,L-03C
799,L-04A
800,L-04B
801,L-05D
802,L-06A
803,L600i
804,L601i
805,L602i
806,L704i
807,L705i
808,L705iX
809,L706ie
810,L852i/Prada
811,M702iG
812,M702iS
813,myC5-3i
814,N-01A
815,N-01B
816,N-01C
817,N-01D
818,N-02A
819,N-02B
820,N-02C
821,N-03A
822,N-03B
823,N-03C
824,N-04A
825,N-04B
826,N-04D
827,N-05A
828,N-05B
829,N-05D
830,N-06A
831,N-06B
832,N-06D
833,N-07A
834,N-07B
835,N-07D
836,N-08A
837,N-08B
838,N-09A
839,N2102V
840,N253i
841,N2701
842,N506i
843,N506iS
844,N506iSII
845,N530i
846,N550i
847,N700i
848,N701i
849,N701iECO
850,N704i
851,N705i
852,N706i
853,N706ie
854,N706iII
855,N901iC
856,N901iS
857,N902iX
858,N905i
859,N905iBiz
860,N906i
861,N906iL
862,NM705i
863,NM706i
864,NM850iG
865,P-01A
866,P-01B
867,P-01C
868,P-01D
869,P-02A
870,P-02B
871,P-02C
872,P-02D
873,P-03A
874,P-03B
875,P-03C
876,P-04A
877,P-04B
878,P-04D
879,P-05A
880,P-05B
881,P-05D
882,P-06A
883,P-06B
884,P-06D
885,P-07A
886,P-07B
887,P-08A
888,P-09A
889,P-10A
890,P209iS
891,P213i
892,P253i
893,P253iS
894,P506iCII
895,P651ps
896,P700i
897,P701iD
898,P704i
899,P705i
900,P705iCL
901,P706i
902,P706ie
903,P851i
904,P901i
905,P901iTV
906,P905i
907,P905iTV
908,P906i
909,SA700iS
910,SA800i
911,SC-01B
912,SC-01C
913,SC-01D
914,SC-03D
915,SC-05D
916,SC-06D
917,SH-01A
918,SH-01B
919,SH-01C
920,SH-01D
921,SH-02A
922,SH-02B
923,SH-02C
924,SH-02D
925,SH-03A
926,SH-04A
927,SH-04B
928,SH-04C
929,SH-04D
930,SH-05A
931,SH-05B
932,SH-05C
933,SH-06A
934,SH-06B
935,SH-06C
936,SH-06D
937,SH-07A
938,SH-07B
939,SH-07D
940,SH-08A
941,SH-08B
942,SH-08C
943,SH-09B
944,SH-09C
945,SH-09D
946,SH-11C
947,SH506iC
948,SH700i
949,SH700iS
950,SH704i
951,SH705i
952,SH705iII
953,SH706i
