1002,Edged Weapons,10,
2003,Education,20,IAB5
23,Education,,IAB5
918,Eldercare,9,IAB6-9
319,Electric Vehicles,3,
7,Electronics,,
712,Electronics News and Reviews,7,
2318,Elementary School,23,
41401,Email,40014,
1811,Email,18,
40006,Employment and Training,,
2404,Energy,24,
628,Engines,6,IAB22-4
3203,English as a 2nd Language,32,
1708,Entertaining,17,IAB10-2
2004,Entertainment,20,IAB1
702,Entertainment Systems,7,IAB1
1709,Environmental Safety,17,IAB10-3
2509,Equestrian,25,
102,Erotic Art,1,
3504,Ethnic Specific,35,
40503,Events,40005,
202,Events & Tickets,2,
1428,Exercise,14,
103,Exotic Dancing,1,
1408,Eye Care and Vision,14,
40703,"Families, Parents",40007,
9,Family & Parenting,,IAB6
40007,Family and Living,,
919,Family Internet,9,
1508,Fantasy Sports,15,
3305,Fashion,33,IAB18
40009,Fashion / Home,,
40904,"Fashion, Beauty",40009,
2532,Figure Skating,25,IAB17-10
1909,File and Photo Hosting,19,
2005,Finance,20,IAB13
506,Financial Aid,5,
3009,Financial News,30,IAB13-3
40405,Financial News and Information,40004,
3010,Financial Planning,30,
40406,Financial Tools,40004,
219,Fine Arts,2,
10,Firearms and Weapons,,
2519,Fish & Game,25,
2528,Fly Fishing,25,
11,Food & Drink,,
1429,Food Allergies,14,IAB8-10
40017,"Food, Drink",,
2512,Football,25,IAB17-12
419,Forestry,4,IAB3-6
2830,France,28,IAB20-15
40103,Free Products,40001,
1517,Freelance Writing,15,IAB9-13
1116,French Cuisine,11,
2533,Freshwater Fishing,25,IAB17-13
706,Gadgets,7,
40018,Gambling,,
12,Gambling,,
2006,Games - action,20,IAB17-14
2007,Games - adventure,20,
2008,Games - arcade,20,
2009,Games - board,20,
2010,Games - brain/puzzle/trivia/word,20,
2011,Games - cards/casino/dice,20,
2012,Games - family/kids/educational,20,
2013,Games - music,20,
2014,Games - racing,20,
2015,Games - role playing,20,
2016,Games - sports,20,
2017,Games - strategy,20,
1710,Gardening,17,
3505,Gay Life,35,
1526,Genealogy,15,
40704,Geneaology,40007,
41203,General Portals,40012,
40105,General Shopping Sites,40001,
3204,Geography,32,IAB15-8
2413,Geography,24,IAB15-8
2403,Geology,24,IAB15-4
2831,Germany,28,
1527,Getting Published,15,
2513,Golf,25,IAB17-15
420,Government,4,IAB3-7
13,"Government, Law & Politics",,
2305,Graduate School,23,
1812,Graphics Software,18,IAB19-16
2832,Greece,28,IAB20-16
421,Green Solutions,4,IAB3-8
1512,Guitar,15,IAB9-16
14,Health & Fitness,,IAB7
2020,Health & Fitness,20,IAB7
40707,"Health, Well Being, Nutrition",40007,IAB7-32
1117,Healthy/LowFat,11,
3012,Hedge Fund,30,IAB13-5
2601,Herbal Cigarettes,26,
1430,Herbs for Health,14,IAB7-25
3406,Hinduism,34,IAB23-6
3205,History,32,IAB5-3
15,Hobbies & Interests,,IAB9
1431,Holistic Healing,14,IAB7-26
17,Home & Garden,,IAB10
1703,Home Improvement,17,
1704,Home Maintenance & Repair,17,
1528,Home Recording,15,IAB9-17
713,Home Video/DVD,7,IAB19-17
2319,Homeschooling,23,IAB5-10
2320,Homework/Study Tips,23,IAB5-11
2833,Honeymoons/Getaways,28,IAB20-17
2534,Horse Racing,25,IAB17-16
2807,Hotels,28,IAB20-18
41503,"Hotels, Hotel Guides",40015,IAB20-18
40903,"House, Garden",40009,IAB10
422,Human Resources,4,IAB3-9
40504,Humor,40005,IAB1-4
1927,Humor & Entertainment,19,
2535,Hunting/Shooting,25,IAB17-18
1309,Immigration,13,IAB11-1
1432,Incest/Abuse Support,14,IAB7-28
1416,Infertility,14,IAB7-30
2536,Inline Skating,25,IAB17-19
41404,Instant Messengers,40014,
40401,Insurance,40004,IAB13-6
3004,Insurance,30,IAB13-6
1702,Interior Decorating,17,IAB10-7
1310,International Government Resources,13,
2101,International News,21,IAB12-1
19,Internet,,IAB19-18
3106,Internet Service Providers,31,
1813,Internet Technology,18,IAB19-18
41405,"Internet Tools, Online Services",40014,
3005,Investing,30,IAB13-1
3407,Islam,34,IAB23-7
41402,ISPs,40014,
1118,Italian Cuisine,11,IAB8-13
2834,Italy,28,IAB20-19
2835,Japan,28,IAB20-20
1119,Japanese Cuisine,11,IAB8-14
1814,Java,18,IAB19-19
1815,JavaScript,18,IAB19-20
3306,Jewelry,33,IAB18-4
1529,Jewelry Making,15,IAB9-19
507,Job Fairs,5,IAB4-4
504,Job Search,5,IAB4-5
40601,"Jobs, Careers",40006,IAB4
2414,Journals and News,24,IAB12
3408,Judaism,34,IAB23-8
1120,Korean Cuisine,11,
3107,Land Phones & VoIP,31,
41407,"Land Telephones, VoIP",40014,
1705,Landscaping,17,IAB10-8
